 ,       March 2011,       March 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0009  BOTSHABELO                    Area 3 BLOEMFONTEIN
INCOME
------
WORKING PROFIT,-67.69,15010.73,84770.99,39086.2
 ,*******************,*******************,*******************,*******************
COFFINS,0,-1194.71,-3704.88,-6377.2
WREATH,568.51,1247.16,5490.77,759.3
GRAVESTONES,1642.75,431.35,6812.06,2096.78
FUNERALS,-2278.95,14526.93,76173.04,42607.32
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-27147.38,-9256.67,-121496.74,-101551.82
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-15,-28,-177,-72
CREDIT CARD COSTS,-0.97,-0.06,-7.51,-17.96
POSTBOX RENTAL,0,0,-305.23,-251.46
BAD DEBTS WRITTEN OFF,-11.19,165.7,-284.04,4014.47
TELEPHONE COSTS,-2222.98,-13.08,-2268.28,-278.81
ADVERTISING,-26.45,-172.27,-377.35,-249.28
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-1518.09,-1162.15
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,-5490.04,-3242.15,-38567.08,-29121.71
RENT PAID - BUILDINGS,-18487.35,-5924.04,-67296.15,-53024.65
MAINTENANCE - BUILDINGS,0.45,0,-0.1,-10301.33
SECURITY,-50.38,-50.39,-455.01,-420.25
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-843.47,7.62,-10240.9,-10666.69
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-27215.07,5754.06,-36725.75,-62465.62
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,26738.83,65360.82,365212.04,300718.63
 ,*******************,*******************,*******************,*******************
COFFIN SALES,0,3521.92,36118.4,27986.81
WREATH SALES,704.72,1480.2,9964.9,4221.17
GRAVESTONE SALES,17665.7,20483.92,124465.39,65674.58
FUNERALS CARRIED OUT,8368.41,39874.78,194663.35,202836.07
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,0,3521.92,36118.4,27986.81

LESS: EXPENSES,0,-4716.63,-39823.28,-34364.01
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,-4052.21,-34455.08,-29867.49
COMMISSION PAID,0,-664.42,-5368.2,-4496.52
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,-1194.71,-3704.88,-6377.2
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%, -15.05%,   4.60%,  -6.71%


WREATH ACCOUNT
--------------
WREATH SALES,704.72,1480.2,9964.9,4221.17
LESS: EXPENSES,-136.21,-233.04,-4474.13,-3461.87
 ,*******************,*******************,*******************,*******************
COST OF SALES,-62.8,-33.3,-3025.16,-3026.42
COST OF SALES- FRESH FLOWERS,0,-0.44,6.91,118.75
COMMISSION,-73.41,-199.3,-1455.88,-554.2
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,568.51,1247.16,5490.77,759.3
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  91.08%,  97.75%,  69.64%,  28.30%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,17665.7,20483.92,124465.39,65674.58
LESS: EXPENSES,-16022.95,-20052.57,-117653.33,-63577.8
 ,*******************,*******************,*******************,*******************
COST OF SALES,-14650.38,-16550.16,-100146.66,-53006.61
COMMISSION PAID,-1372.57,-3502.41,-17506.67,-10571.19
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,1642.75,431.35,6812.06,2096.78
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  17.06%,  19.20%,  19.53%,  19.28%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,8368.41,39874.78,194663.35,202836.07
LESS: EXPENSES,-10647.36,-25347.85,-118490.31,-160228.75
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,0.51,1.92,1.35,-154.6
    NAMEPLATES,0.41,-39.49,-78.3,-221.62
    MAINT & DEPR - VEHICLES,-217.81,-324.43,-1558.26,-24533.02
    FUEL,-1592.08,-56.83,-2758.91,-31561.59
    MAINT & DEPR - EQUIPMENT,-92.88,-93.64,-13529.39,-842.23
    UNDERTAKERSFEE,-1495.01,-2553.34,-24260.88,-19672.84
    TELEPHONE COSTS,-60.4,-52.93,-831.05,-220.95
NON CORE SERVICES,0,0,0,0
    TRANSPORT,-1089.13,-6618.62,-15364.87,-18379.53
    EQUIPMENT,-1096.4,-3552.5,-17870.87,-16098.94
    REFRESHMENTS,-414.01,-782.63,-670.85,-2771.24
    COMPENSATION,-259.48,-776.95,-3160.96,-1723.62
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-186.57,-1054.99,-4070.67,-3744.83
    DOCTERS' FEES,-2.93,1.64,6.26,-20.47
    GRAVE COSTS,-1321.75,-9037.85,-25493.22,-34702.75
    RENTAL EXPENSES,-2.41,0.78,-1.98,-1.09
    CREMATION FEES,-0.17,-4.53,26.35,-11.23
    OTHER TRANSPORT,-2834.01,13.89,-5792.01,-2980.98
    COMMUNITY INVOLVEMENT,0,-399.9,-2300,-2399.7
    SUNDRY EXPENSES,16.76,-17.45,-782.05,-187.52
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-2278.95,14526.93,76173.04,42607.32
 ,-----------------,-----------------,-----------------,-----------------
