 ,       March 2011,       March 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0018  BOTHAVILLE                    Area 2 KROONSTAD
INCOME
------
WORKING PROFIT,5685.89,-7041.84,30531.69,-28285.49
 ,*******************,*******************,*******************,*******************
COFFINS,-230.02,909.39,3958.28,13441.74
WREATH,782.22,219.95,5871.4,3743
GRAVESTONES,13.11,88.31,4413.46,-36.3
FUNERALS,5120.58,-8259.49,16288.55,-45433.93
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-12626.63,-14278.56,-117282.3,-123481.09
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-22,0,-119,0
CREDIT CARD COSTS,-1.42,-0.09,-10.98,-26.19
POSTBOX RENTAL,0,0,-305.8,-252.13
BAD DEBTS WRITTEN OFF,-16.32,-6.58,-6772.29,-2783.56
TELEPHONE COSTS,-2096.42,-3725.61,-6934.46,-27771.71
ADVERTISING,-38.56,-251.1,-550.08,-363.35
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,0,0
   - GUARANTEED INCOME,0,0,-11191.8,0
   - OTHER OFFICE ALLOWANCES,-1420.33,-103.79,-9013.08,-2504.87
RENT PAID - BUILDINGS,-7896.62,-7877.94,-71313.05,-70901.95
MAINTENANCE - BUILDINGS,-378.29,0,-379.1,-1021.27
SECURITY,-310.95,-62.15,-2464.08,-532.08
CLEANING COSTS,0,-350,-754.08,-4084.84
MEDICAL WASTE,-523.72,0,-2861.48,0
LOSS DUE TO THEFT,0,0,-2815.96,-131.38
WATER & ELECTRICITY,78,-1901.3,-1797.06,-13107.76
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-6940.74,-21320.4,-86750.61,-151766.58
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,28070.99,10881.37,165911.74,131333.42
 ,*******************,*******************,*******************,*******************
COFFIN SALES,4627.19,1807.02,25798.24,35407.88
WREATH SALES,3590.61,1104.42,18791.57,11673.24
GRAVESTONE SALES,-0.07,-0.02,27518.71,-0.58
FUNERALS CARRIED OUT,19853.26,7969.95,93803.22,84252.88
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,4627.19,1807.02,25798.24,35407.88

LESS: EXPENSES,-4857.21,-897.63,-21839.96,-21966.14
 ,*******************,*******************,*******************,*******************
COST OF SALES,-4127.88,-897.63,-18981.49,-21966.14
COMMISSION PAID,-729.33,0,-2858.47,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-230.02,909.39,3958.28,13441.74
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  10.79%,  50.32%,  26.42%,  37.96%


WREATH ACCOUNT
--------------
WREATH SALES,3590.61,1104.42,18791.57,11673.24
LESS: EXPENSES,-2808.39,-884.47,-12920.17,-7930.24
 ,*******************,*******************,*******************,*******************
COST OF SALES,-1211.11,-883.82,-7900.85,-7453.37
COST OF SALES- FRESH FLOWERS,-1236.84,-0.65,-3404.6,-476.9
COMMISSION,-360.44,0,-1614.72,0.03
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,782.22,219.95,5871.4,3743
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  66.27%,  19.97%,  57.95%,  36.14%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,-0.07,-0.02,27518.71,-0.58
LESS: EXPENSES,13.18,88.33,-23105.25,-35.72
 ,*******************,*******************,*******************,*******************
COST OF SALES,9.98,8.42,-22402.86,-18.49
COMMISSION PAID,3.2,79.91,-702.39,-17.23
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,13.11,88.31,4413.46,-36.3
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,  18.59%,   0.00%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,19853.26,7969.95,93803.22,84252.88
LESS: EXPENSES,-14732.68,-16229.44,-77514.67,-129686.81
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,0.74,2.8,2.01,-0.88
    NAMEPLATES,-12.4,-0.72,-241.43,-0.89
    MAINT & DEPR - VEHICLES,-2282.56,-7780.24,-10705.78,-31896.43
    FUEL,-8184.42,-6474.9,-35053.11,-76452.45
    MAINT & DEPR - EQUIPMENT,-186.04,-186.92,-4150.5,-1681.47
    UNDERTAKERSFEE,-3291.86,-23.12,-16718.95,-2264.31
    TELEPHONE COSTS,-120.58,5.21,-496.7,-6.73
NON CORE SERVICES,0,0,0,0
    TRANSPORT,10.73,58.54,-686.92,-2108.69
    EQUIPMENT,0.14,43.36,-1972.83,-681.08
    REFRESHMENTS,-17.42,9.99,-18.86,5.74
    COMPENSATION,0,0,-193.75,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-248.64,-41.27,-1212.48,-1827.91
    DOCTERS' FEES,-4.27,-297.61,-860.85,-329.87
    GRAVE COSTS,3.27,29.38,-1358.19,229.83
    RENTAL EXPENSES,-3.51,1.15,-2.9,-1.55
    CREMATION FEES,-0.25,-1026.9,-2002.2,-6202.86
    OTHER TRANSPORT,9.46,20.26,70.74,-3884.82
    COMMUNITY INVOLVEMENT,-400,-99.86,-1650,-1399.57
    SUNDRY EXPENSES,-5.07,-468.59,-261.97,-1182.87
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,5120.58,-8259.49,16288.55,-45433.93
 ,-----------------,-----------------,-----------------,-----------------
