 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0635  CERES                         Area 36 BELVILLE
INCOME
------
WORKING PROFIT,-4958.01,8357.07,32726.26,53479.57
 ,*******************,*******************,*******************,*******************
COFFINS,144.59,-531.59,6000.14,-3476.38
WREATH,3.94,-24.22,-1072.89,5416.96
GRAVESTONES,11.88,-13.72,54.92,-30.24
FUNERALS,-5118.42,8926.6,27744.09,51569.23
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-13741.3,-9802.26,-95999.23,-79664.53
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-5,0,-171,-45
CREDIT CARD COSTS,-0.31,-5.24,-12.95,-35.35
POSTBOX RENTAL,0,0,-306.43,-252.89
BAD DEBTS WRITTEN OFF,-44.62,-1.44,-116.55,144.74
TELEPHONE COSTS,-18.84,-24.08,-4975.8,-524.06
ADVERTISING,-116.22,-141.58,-691.98,-151.85
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,0,0
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,-954.34,-642.93,-5445.54,-4250.87
RENT PAID - BUILDINGS,-7839.35,-6043.51,-55992.72,-48348.5
MAINTENANCE - BUILDINGS,0,0,-1.09,-8719.32
SECURITY,-50.68,-60.56,-1240.3,-508.87
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,-612.3
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-4711.94,-2882.92,-27044.87,-16360.26
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-18699.31,-1445.19,-63272.97,-26184.96
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,1378.2,23090.24,189403.7,217872.51
 ,*******************,*******************,*******************,*******************
COFFIN SALES,828.95,4368.95,31714.93,28712.08
WREATH SALES,45.59,274.34,8393.54,8222.52
GRAVESTONE SALES,-0.03,-0.07,-0.69,5105.08
FUNERALS CARRIED OUT,503.69,18447.02,149295.92,175832.83
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,828.95,4368.95,31714.93,28712.08

LESS: EXPENSES,-684.36,-4900.54,-25714.79,-32188.46
 ,*******************,*******************,*******************,*******************
COST OF SALES,-642.91,-4567.39,-22087.04,-28822.1
COMMISSION PAID,-41.45,-333.15,-3627.75,-3366.36
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,144.59,-531.59,6000.14,-3476.38
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  22.44%,  -4.54%,  30.35%,  -0.38%


WREATH ACCOUNT
--------------
WREATH SALES,45.59,274.34,8393.54,8222.52
LESS: EXPENSES,-41.65,-298.56,-9466.43,-2805.56
 ,*******************,*******************,*******************,*******************
COST OF SALES,-35.96,-210.89,-3083.67,-2225.78
COST OF SALES- FRESH FLOWERS,-0.96,-60.37,-5568.39,235.02
COMMISSION,-4.73,-27.3,-814.37,-814.8
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,3.94,-24.22,-1072.89,5416.96
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  21.12%,  23.12%,  63.26%,  72.93%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,-0.03,-0.07,-0.69,5105.08
LESS: EXPENSES,11.91,-13.65,55.61,-5135.32
 ,*******************,*******************,*******************,*******************
COST OF SALES,17.99,24.9,168.35,-4429.61
COMMISSION PAID,-6.08,-38.55,-112.74,-705.71
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,11.88,-13.72,54.92,-30.24
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,  13.23%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,503.69,18447.02,149295.92,175832.83
LESS: EXPENSES,-5622.11,-9520.42,-121551.83,-124263.6
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,5.14,-5.1,1.75,-754.99
    NAMEPLATES,-14.48,-86.56,-300.4,-974.26
    MAINT & DEPR - VEHICLES,-3207.79,-80.82,-25477.19,-5954.41
    FUEL,-721.25,-76.02,-13595.28,-4768.89
    MAINT & DEPR - EQUIPMENT,-357.19,-439.36,-3265.66,-3547.89
    UNDERTAKERSFEE,-1095.9,-2985.22,-25174.97,-28877.79
    TELEPHONE COSTS,-40.73,-38.39,-954.73,-1015.53
NON CORE SERVICES,0,0,0,0
    TRANSPORT,26.49,8.09,45.1,-104.51
    EQUIPMENT,-15.96,34.22,-1159.96,-1140.54
    REFRESHMENTS,0.95,0.34,-1.97,-5.75
    COMPENSATION,0,0,-1795.03,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-209.65,-735.66,-26822.24,-26389.64
    DOCTERS' FEES,3.38,-1140.56,-4211.88,-7754.22
    GRAVE COSTS,33.82,83.77,-4647.42,-6452.51
    RENTAL EXPENSES,2.18,0.19,0.81,-568.64
    CREMATION FEES,6.08,-3310.78,-9415.41,-20931.34
    OTHER TRANSPORT,10.22,-1.35,82.91,-6366.26
    COMMUNITY INVOLVEMENT,0,0.2,-1700,-1799.6
    SUNDRY EXPENSES,-47.42,-747.41,-3160.26,-6856.83
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-5118.42,8926.6,27744.09,51569.23
 ,-----------------,-----------------,-----------------,-----------------
