 ,         May 2011,         May 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0003  ALIWAL NOORD                  Area 3 BLOEMFONTEIN
INCOME
------
WORKING PROFIT,6942.72,19606.27,100083.39,137545.2
 ,*******************,*******************,*******************,*******************
COFFINS,715.24,4223.24,21903.95,7438.09
WREATH,-6.45,1330.34,-1755.95,4093.19
GRAVESTONES,242.82,17.14,-563.35,3622.34
FUNERALS,5991.11,14035.55,80498.74,122391.58
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-17346.55,-14109.5,-152480.82,-157930.25
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-20,-26,-379,-193
CREDIT CARD COSTS,0,-6.05,-19.63,-48.71
POSTBOX RENTAL,0,0,-306.87,-253.41
BAD DEBTS WRITTEN OFF,-3.92,-45.55,3135.93,-750.75
TELEPHONE COSTS,-22.58,-9.76,-6013.14,-667.91
ADVERTISING,-50.36,-365.09,-940.92,-990.54
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-838.88,-701.8
   - GUARANTEED INCOME,19,0,19,0
   - OTHER OFFICE ALLOWANCES,-2150.48,-2133.32,-26830.32,-25074.67
RENT PAID - BUILDINGS,-8630.27,-8620.7,-95417.96,-94867.32
MAINTENANCE - BUILDINGS,0,0,-2876.25,-16781.14
SECURITY,-37.49,-1708.83,-417.02,-2096.78
CLEANING COSTS,0,-0.84,0,-0.84
MEDICAL WASTE,-804.51,0,-3149.9,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-5645.94,-1193.36,-18445.86,-15503.38
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-10403.83,5496.77,-52397.43,-20385.05
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,36372.36,42360.44,620340.97,468551.14
 ,*******************,*******************,*******************,*******************
COFFIN SALES,9271.92,16342.96,134250.73,79491.24
WREATH SALES,489.07,1830.07,13944.89,11587.85
GRAVESTONE SALES,-1.43,0.02,83377.85,110088.3
FUNERALS CARRIED OUT,26612.8,24187.39,388767.5,267383.75
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,9271.92,16342.96,134250.73,79491.24

LESS: EXPENSES,-8556.68,-12119.72,-112346.78,-72053.15
 ,*******************,*******************,*******************,*******************
COST OF SALES,-7452.76,-10579.87,-97372.47,-62614.01
COMMISSION PAID,-1103.92,-1539.85,-14974.31,-9439.14
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,715.24,4223.24,21903.95,7438.09
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  19.62%,  35.26%,  27.46%,  21.23%


WREATH ACCOUNT
--------------
WREATH SALES,489.07,1830.07,13944.89,11587.85
LESS: EXPENSES,-495.52,-499.73,-15700.84,-7494.66
 ,*******************,*******************,*******************,*******************
COST OF SALES,-104.56,-57.01,-10608.02,-4595.21
COST OF SALES- FRESH FLOWERS,-3.62,-97.37,12.46,81.9
COMMISSION,-387.34,-345.35,-5105.28,-2981.35
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,-6.45,1330.34,-1755.95,4093.19
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  78.62%,  96.88%,  23.92%,  60.34%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES,-1.43,0.02,83377.85,110088.3
LESS: EXPENSES,244.25,17.12,-83941.2,-106465.96
 ,*******************,*******************,*******************,*******************
COST OF SALES,43.04,7.73,-71796.96,-88878
COMMISSION PAID,201.21,9.39,-12144.24,-17587.96
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,242.82,17.14,-563.35,3622.34
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,  13.88%,  19.26%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,26612.8,24187.39,388767.5,267383.75
LESS: EXPENSES,-20621.69,-10151.84,-308268.76,-144992.17
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,2.51,-5.83,6.55,-67.06
    NAMEPLATES,-40.23,-211.57,-712.76,-548.51
    MAINT & DEPR - VEHICLES,-3118.31,-2565.65,-63628.11,-33341.87
    FUEL,-3767.44,-1774.93,-44058.7,-16780.38
    MAINT & DEPR - EQUIPMENT,-1880.19,-1.86,-8410.75,-19.2
    UNDERTAKERSFEE,-4080.9,-2647.33,-76241.55,-36141.19
    TELEPHONE COSTS,-32.1,-53.1,-1046.31,-627.65
NON CORE SERVICES,0,0,0,0
    TRANSPORT,108.79,16.47,-11420.48,50.4
    EQUIPMENT,-25.52,-24.12,-25743.79,-9482.37
    REFRESHMENTS,28.46,-4.48,10.59,-94.45
    COMPENSATION,0,-189.68,-5822.64,-853.1
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-3025.29,-1741.21,-47092.42,-28813.69
    DOCTERS' FEES,56.04,-9.95,-458.8,-23.3
    GRAVE COSTS,-2136.67,-553.83,-8278.41,-1797.23
    RENTAL EXPENSES,9.22,0.96,-97.48,-2.54
    CREMATION FEES,6.85,5.23,-4578.13,-1295.4
    OTHER TRANSPORT,-133.5,26.42,-27.09,-5682.23
    COMMUNITY INVOLVEMENT,-400,-400,-4800,-3849.3
    SUNDRY EXPENSES,-2193.41,-17.38,-5868.48,-5623.1
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,5991.11,14035.55,80498.74,122391.58
 ,-----------------,-----------------,-----------------,-----------------
