 ,    February 2011,    February 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0017  BURGERSFORT                   Area 11 PIETERSBURG
INCOME
------
WORKING PROFIT,12718.49,5600.59,235839.65,144498.33
 ,*******************,*******************,*******************,*******************
COFFINS,4714.28,-1145.95,36803.74,9165.51
WREATH,1594.1,505.97,-2504.99,3404.4
GRAVESTONES,6.61,5646.86,5465.39,-76.12
FUNERALS,6403.5,593.71,196075.51,132004.54
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-58646.06,-48561.89,-385773.98,-265757.57
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-54,-54,-505,-494.2
CREDIT CARD COSTS,-0.17,-2.91,-7.15,-19.61
POSTBOX RENTAL,0,0,-1.35,-251.6
BAD DEBTS WRITTEN OFF,-431.8,-0.81,-5354.26,-515.62
TELEPHONE COSTS,-10.47,-13.38,-49.67,-291.26
ADVERTISING,-64.6,-78.7,-384.64,-84.41
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,-5638.63,-3746.05
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,-3035.52,-2993.84,-24211.53,-25662.57
RENT PAID - BUILDINGS,-21512.31,-21509.63,-172812.64,-172077.42
MAINTENANCE - BUILDINGS,-25445.58,0,-135653.46,-14255.77
SECURITY,-50.48,-50.43,-404.88,-407.25
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,-393.36,0,-3266.39,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,-7647.77,-23858.19,-37484.38,-47951.81
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,-45927.57,-42961.3,-149934.33,-121259.24
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,88780.28,96431.32,1073036.44,761802.49
 ,*******************,*******************,*******************,*******************
COFFIN SALES,24017,7675.44,207322.76,130710.45
WREATH SALES,6750.22,4174.49,57696.2,40647.76
GRAVESTONE SALES,-0.01,29728.91,98379.14,35110.98
FUNERALS CARRIED OUT,58013.07,54852.48,709638.34,555333.3
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,24017,7675.44,207322.76,130710.45

LESS: EXPENSES,-19302.72,-8821.39,-170519.02,-121544.94
 ,*******************,*******************,*******************,*******************
