 ,         May 2011,         May 2010,  Current/YR (Cum), Previous/YR (Cum)

Branch - 0631  TYGER VALLEY                  Area 36 BELVILLE
INCOME
------
WORKING PROFIT,122175.64,0,532851.58,0
 ,*******************,*******************,*******************,*******************
COFFINS,7528.7,0,35000.81,0
WREATH,14735,0,46790,0
GRAVESTONES,0,0,0,0
FUNERALS,99911.94,0,451060.77,0
 ,*******************,*******************,*******************,*******************
LESS: CONTROLLABLE BRANCH EXPENSES,-24446.07,0,-277212.61,0
 ,*******************,*******************,*******************,*******************
FUNERAL SALES DOCUMENTATION FEE,-100,0,-464,0
CREDIT CARD COSTS,0,0,0,0
POSTBOX RENTAL,0,0,0,0
BAD DEBTS WRITTEN OFF,0,0,0,0
TELEPHONE COSTS,0,0,-695,0
ADVERTISING,0,0,0,0
OFFICE ALLOWANCES,0,0,0,0
   - LEAVE / BONUS ALLOWANCE,0,0,0,0
   - GUARANTEED INCOME,0,0,0,0
   - OTHER OFFICE ALLOWANCES,0,0,0,0
RENT PAID - BUILDINGS,-24346.07,0,-253590.3,0
MAINTENANCE - BUILDINGS,0,0,-15363.31,0
SECURITY,0,0,-4600,0
CLEANING COSTS,0,0,0,0
MEDICAL WASTE,0,0,0,0
LOSS DUE TO THEFT,0,0,0,0
WATER & ELECTRICITY,0,0,-2500,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
NET INCOME/-(LOSS)BEFORE H/O EXPENSES,97729.57,0,255638.97,0
 ,-----------------,-----------------,-----------------,-----------------

TOTAL SALES/TURNOVER,268333.66,0,1131045.12,0
 ,*******************,*******************,*******************,*******************
COFFIN SALES,31723.73,0,150083.57,0
WREATH SALES,16270,0,52036,0
GRAVESTONE SALES,0,0,0,0
FUNERALS CARRIED OUT,220339.93,0,928925.55,0
 ,*******************,*******************,*******************,*******************
COFFIN ACCOUNT
--------------
COFFIN SALES,31723.73,0,150083.57,0

LESS: EXPENSES,-24195.03,0,-115082.76,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,-20642.33,0,-98365.36,0
COMMISSION PAID,-3552.7,0,-16717.4,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,7528.7,0,35000.81,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,  34.93%,   0.00%,  34.45%,   0.00%


WREATH ACCOUNT
--------------
WREATH SALES,16270,0,52036,0
LESS: EXPENSES,-1535,0,-5246,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COST OF SALES- FRESH FLOWERS,0,0,0,0
COMMISSION,-1535,0,-5246,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,14735,0,46790,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE, 100.00%,   0.00%, 100.00%,   0.00%


GRAVESTONE ACCOUNT
------------------
GRAVESTONE SALES
LESS: EXPENSES,0,0,0,0
 ,*******************,*******************,*******************,*******************
COST OF SALES,0,0,0,0
COMMISSION PAID,0,0,0,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,0,0,0,0
 ,-----------------,-----------------,-----------------,-----------------
GROSS PROFIT PERCENTAGE,   0.00%,   0.00%,   0.00%,   0.00%

FUNERAL ACCOUNT
---------------
FUNERALS CARRIED OUT,220339.93,0,928925.55,0
LESS: EXPENSES,-120427.99,0,-477864.78,0
 ,*******************,*******************,*******************,*******************
COMPREHENSIVE PRICE EXPENSES,0,0,0,0
    MORTUARY FEE,0,0,0,0
    NAMEPLATES,-4225,0,-23144.7,0
    MAINT & DEPR - VEHICLES,0,0,0,0
    FUEL,0,0,0,0
    MAINT & DEPR - EQUIPMENT,0,0,0,0
    UNDERTAKERSFEE,-30172.89,0,-135620.67,0
    TELEPHONE COSTS,-895,0,-4249.1,0
NON CORE SERVICES,0,0,0,0
    TRANSPORT,0,0,0,0
    EQUIPMENT,-555.56,0,-1111.12,0
    REFRESHMENTS,0,0,0,0
    COMPENSATION,-55.54,0,-2177.76,0
OTHER EXPENSES,0,0,0,0
    FUNERAL NOTICES & PROGRAMMES,-33987.4,0,-107280.78,0
    DOCTERS' FEES,-9043.6,0,-40173.8,0
    GRAVE COSTS,-8480,0,-24111,0
    RENTAL EXPENSES,-900,0,-10168.4,0
    CREMATION FEES,-17647.2,0,-68799,0
    OTHER TRANSPORT,0,0,-5648.1,0
    COMMUNITY INVOLVEMENT,-2300,0,-10150,0
    SUNDRY EXPENSES,-12165.8,0,-45230.35,0
 ,*******************,*******************,*******************,*******************
 ,-----------------,-----------------,-----------------,-----------------
WORKING PROFIT TO INCOME STATEMENT,99911.94,0,451060.77,0
 ,-----------------,-----------------,-----------------,-----------------
