0062,02,0    ,0201229961,1X REKENAARTAFELKREDKA000000000671                                                                  ,20050519  ,          ,          
0062,02,0    ,0201230220,1 X RONDE TAFELKNT 22/12/2005                                                                       ,0         ,          ,          
0062,02,0    ,0207012937,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012938,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012939,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012940,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012941,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012942,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012943,PLASTIESE STOELKB027096                                                                             ,20010516  ,          ,          
0062,02,0    ,0207012944,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012945,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207012946,PLASTIESE STOELKB02709                                                                              ,20010516  ,          ,          
0062,02,0    ,0207017457,1 X TIKSTER STOELCINVKA605                                                                          ,20051124  ,          ,          
0062,02,0    ,0207017458,1 X TIKSTERSTOELCINVKA605                                                                           ,20051124  ,          ,          
0062,02,0    ,0299006962,LYKSAK/PLASTIES/GROEN/MET HANDVATSELS                                                               ,19990301  ,          ,          
0062,02,0    ,0327007526,HP 17" CRT MONITOR KREDKC15605                                                                      ,20050331  ,          ,          
0062,02,0    ,0327007545,HP DX200 CEL 2.8/533 40G 256/400 KREDKC15605_TOWERKREDK                                             ,20050331  ,          ,          
0062,02,0    ,0327007573,SAMSUNG LASER 16PPM PRINTER KREDKC15936                                                             ,20050412  ,          ,          
0062,02,0    ,0327007618,3COM OFFICE CONNECT SWITCH KREDKC15937                                                              ,20050412  ,          ,          
0062,02,0    ,0343000658,AVBOB 4X5 SHADE BRELLA CANVAS MET GREEN LOGOKREDKL1704                                              ,20050929  ,          ,          
0062,02,0    ,0401005440,AFLAATMASJIEN  A107581                                                                              ,19880601  ,          ,          
0062,02,0    ,0401005643,STAND & DRAPESET X 1                                                                                ,19901010  ,          ,          
